date;Germany;Korea, South;China;France;India
2020-01-22;0;1;548;0;0
2020-01-23;0;1;643;0;0
2020-01-24;0;2;920;2;0
2020-01-25;0;2;1406;3;0
2020-01-26;0;3;2075;3;0
2020-01-27;1;4;2877;3;0
2020-01-28;4;4;5509;4;0
2020-01-29;4;4;6087;5;0
2020-01-30;4;4;8141;5;1
2020-01-31;5;11;9802;5;1
2020-02-01;8;12;11891;6;1
2020-02-02;10;15;16630;6;2
2020-02-03;12;15;19716;6;3
2020-02-04;12;16;23707;6;3
2020-02-05;12;19;27440;6;3
2020-02-06;12;23;30587;6;3
2020-02-07;13;24;34110;6;3
2020-02-08;13;24;36814;11;3
2020-02-09;14;25;39829;11;3
2020-02-10;14;27;42354;11;3
2020-02-11;16;28;44386;11;3
2020-02-12;16;28;44759;11;3
2020-02-13;16;28;59895;11;3
2020-02-14;16;28;66358;11;3
2020-02-15;16;28;68413;12;3
2020-02-16;16;29;70513;12;3
2020-02-17;16;30;72434;12;3
2020-02-18;16;31;74211;12;3
2020-02-19;16;31;74619;12;3
2020-02-20;16;104;75077;12;3
2020-02-21;16;204;75550;12;3
2020-02-22;16;433;77001;12;3
2020-02-23;16;602;77022;12;3
2020-02-24;16;833;77241;12;3
2020-02-25;17;977;77754;14;3
2020-02-26;27;1261;78166;18;3
2020-02-27;46;1766;78600;38;3
2020-02-28;48;2337;78928;57;3
2020-02-29;79;3150;79356;100;3
2020-03-01;130;3736;79932;130;3
2020-03-02;159;4335;80136;191;5
2020-03-03;196;5186;80261;204;5
2020-03-04;262;5621;80386;288;28
2020-03-05;482;6088;80537;380;30
2020-03-06;670;6593;80690;656;31
2020-03-07;799;7041;80770;959;34
2020-03-08;1040;7314;80823;1136;39
2020-03-09;1176;7478;80860;1219;43
2020-03-10;1457;7513;80887;1794;56
2020-03-11;1908;7755;80921;2293;62
2020-03-12;2078;7869;80932;2293;73
2020-03-13;3675;7979;80945;3681;82
2020-03-14;4585;8086;80977;4496;102
2020-03-15;5795;8162;81003;4532;113
2020-03-16;7272;8236;81033;6683;119
2020-03-17;9257;8320;81058;7715;142
2020-03-18;12327;8413;81102;9124;156
2020-03-19;15320;8565;81156;10970;194
2020-03-20;19848;8652;81250;12758;244
2020-03-21;22213;8799;81305;14463;330
2020-03-22;24873;8961;81435;16243;396
2020-03-23;29056;8961;81498;20123;499
2020-03-24;32986;9037;81591;22622;536
2020-03-25;37323;9137;81661;25600;657
2020-03-26;43938;9241;81782;29551;727
2020-03-27;50871;9332;81897;33402;887
2020-03-28;57695;9478;81999;38105;987
2020-03-29;62095;9583;82122;40708;1024
2020-03-30;66885;9661;82198;45170;1251
2020-03-31;71808;9786;82279;52827;1397
2020-04-01;77872;9887;82361;57749;1998
2020-04-02;84794;9976;82432;59929;2543
2020-04-03;91159;10062;82511;65202;2567
2020-04-04;96092;10156;82543;69500;3082
2020-04-05;100123;10237;82602;71412;3588
2020-04-06;103374;10284;82665;75343;4778
2020-04-07;107663;10331;82718;79163;5311
2020-04-08;113296;10384;82809;83057;5916
2020-04-09;118181;10423;82883;87366;6725
2020-04-10;122171;10450;82941;91738;7598
2020-04-11;124908;10480;83014;94863;8446
2020-04-12;127854;10512;83134;121712;9205
2020-04-13;130072;10537;83213;125394;10453
2020-04-14;131359;10564;83306;130365;11487
2020-04-15;134753;10591;83356;133585;12322
2020-04-16;137698;10613;83403;146075;13430
2020-04-17;141397;10635;83760;148084;14352
2020-04-18;143342;10653;83787;148086;15722
2020-04-19;145184;10661;83805;153011;17615
2020-04-20;147065;10674;83817;155393;18539
2020-04-21;148291;10683;83853;158168;20080
2020-04-22;150648;10694;83868;155980;21370
2020-04-23;153129;10708;83884;158303;23077
2020-04-24;154999;10718;83899;159952;24530
2020-04-25;156513;10728;83909;161644;26283
2020-04-26;157770;10738;83912;162220;27890
2020-04-27;158758;10752;83918;165963;29451
2020-04-28;159912;10761;83940;169053;31324
2020-04-29;161539;10765;83944;166543;33062
2020-04-30;163009;10774;83956;167299;34863
2020-05-01;164077;10780;83959;167305;37257
