doubling every two days;doubling every 4 days;doubling every 10 days;Germany;Korea, South;China;France;India;day
250.0;250.0;250.0;262.0;433.0;548.0;288.0;330.0;0
353.5533905932738;297.3017787506803;267.9433656340733;482.0;602.0;643.0;380.0;396.0;1
500.0;353.5533905932738;287.17458874925876;670.0;833.0;920.0;656.0;499.0;2
707.1067811865476;420.44820762685725;307.7861033362291;799.0;977.0;1406.0;959.0;536.0;3
1000.0;500.0;329.8769776932235;1040.0;1261.0;2075.0;1136.0;657.0;4
1414.213562373095;594.6035575013606;353.5533905932738;1176.0;1766.0;2877.0;1219.0;727.0;5
2000.0;707.1067811865476;378.9291416275995;1457.0;2337.0;5509.0;1794.0;887.0;6
2828.42712474619;840.8964152537145;406.12619817811776;1908.0;3150.0;6087.0;2293.0;987.0;7
4000.0;1000.0;435.27528164806205;2078.0;3736.0;8141.0;2293.0;1024.0;8
5656.85424949238;1189.2071150027211;466.51649576840373;3675.0;4335.0;9802.0;3681.0;1251.0;9
8000.0;1414.213562373095;500.0;4585.0;5186.0;11891.0;4496.0;1397.0;10
11313.70849898476;1681.792830507429;535.8867312681466;5795.0;5621.0;16630.0;4532.0;1998.0;11
16000.0;2000.0;574.3491774985174;7272.0;6088.0;19716.0;6683.0;2543.0;12
22627.41699796952;2378.4142300054423;615.5722066724582;9257.0;6593.0;23707.0;7715.0;2567.0;13
32000.0;2828.42712474619;659.753955386447;12327.0;7041.0;27440.0;9124.0;3082.0;14
45254.83399593904;3363.585661014858;707.1067811865476;15320.0;7314.0;30587.0;10970.0;3588.0;15
64000.0;4000.0;757.8582832551991;19848.0;7478.0;34110.0;12758.0;4778.0;16
90509.66799187809;4756.828460010885;812.2523963562355;22213.0;7513.0;36814.0;14463.0;5311.0;17
128000.0;5656.85424949238;870.5505632961241;24873.0;7755.0;39829.0;16243.0;5916.0;18
181019.33598375617;6727.171322029716;933.0329915368075;29056.0;7869.0;42354.0;20123.0;6725.0;19
256000.0;8000.0;1000.0;32986.0;7979.0;44386.0;22622.0;7598.0;20
362038.67196751235;9513.65692002177;1071.7734625362932;37323.0;8086.0;44759.0;25600.0;8446.0;21
512000.0;11313.70849898476;1148.698354997035;43938.0;8162.0;59895.0;29551.0;9205.0;22
724077.3439350247;13454.342644059432;1231.144413344916;50871.0;8236.0;66358.0;33402.0;10453.0;23
1024000.0;16000.0;1319.507910772894;57695.0;8320.0;68413.0;38105.0;11487.0;24
1448154.6878700494;19027.31384004354;1414.213562373095;62095.0;8413.0;70513.0;40708.0;12322.0;25
2048000.0;22627.41699796952;1515.7165665103983;66885.0;8565.0;72434.0;45170.0;13430.0;26
2896309.3757400988;26908.685288118864;1624.5047927124713;71808.0;8652.0;74211.0;52827.0;14352.0;27
4096000.0;32000.0;1741.101126592248;77872.0;8799.0;74619.0;57749.0;15722.0;28
5792618.7514801975;38054.62768008708;1866.065983073615;84794.0;8961.0;75077.0;59929.0;17615.0;29
8192000.0;45254.83399593904;2000.0;91159.0;8961.0;75550.0;65202.0;18539.0;30
11585237.502960395;53817.37057623773;2143.5469250725864;96092.0;9037.0;77001.0;69500.0;20080.0;31
16384000.0;64000.0;2297.39670999407;100123.0;9137.0;77022.0;71412.0;21370.0;32
23170475.00592079;76109.25536017415;2462.288826689832;103374.0;9241.0;77241.0;75343.0;23077.0;33
32768000.0;90509.66799187809;2639.015821545788;107663.0;9332.0;77754.0;79163.0;24530.0;34
46340950.01184158;107634.74115247546;2828.42712474619;113296.0;9478.0;78166.0;83057.0;26283.0;35
65536000.0;128000.0;3031.4331330207965;118181.0;9583.0;78600.0;87366.0;27890.0;36
92681900.02368316;152218.5107203483;3249.0095854249425;122171.0;9661.0;78928.0;91738.0;29451.0;37
131072000.0;181019.33598375617;3482.202253184496;124908.0;9786.0;79356.0;94863.0;31324.0;38
185363800.04736632;215269.4823049509;3732.13196614723;127854.0;9887.0;79932.0;121712.0;33062.0;39
262144000.0;256000.0;4000.0;130072.0;9976.0;80136.0;125394.0;34863.0;40
370727600.09473264;304437.0214406966;4287.093850145172;131359.0;10062.0;80261.0;130365.0;37257.0;41
524288000.0;362038.67196751235;4594.79341998814;134753.0;10156.0;80386.0;133585.0;39699.0;42
741455200.1894653;430538.9646099018;4924.577653379664;137698.0;10237.0;80537.0;146075.0;42505.0;43
1048576000.0;512000.0;5278.031643091578;141397.0;10284.0;80690.0;148084.0;46437.0;44
1482910400.3789306;608874.0428813932;5656.85424949238;143342.0;10331.0;80770.0;148086.0;49400.0;45
2097152000.0;724077.3439350247;6062.866266041591;145184.0;10384.0;80823.0;153011.0;52987.0;46
2965820800.757861;861077.9292198037;6498.019170849885;147065.0;10423.0;80860.0;155393.0;56351.0;47
4194304000.0;1024000.0;6964.404506368992;148291.0;10450.0;80887.0;158168.0;59695.0;48
5931641601.515722;1217748.0857627864;7464.2639322944615;150648.0;10480.0;80921.0;155980.0;62808.0;49
8388608000.0;1448154.6878700494;8000.0;153129.0;10512.0;80932.0;158303.0;67161.0;50
11863283203.031445;1722155.8584396073;8574.187700290344;154999.0;10537.0;80945.0;159952.0;70768.0;51
16777216000.0;2048000.0;9189.58683997628;156513.0;10564.0;80977.0;161644.0;74292.0;52
23726566406.06289;2435496.171525573;9849.155306759329;157770.0;10591.0;81003.0;162220.0;78055.0;53
33554432000.0;2896309.3757400988;10556.063286183156;158758.0;10613.0;81033.0;165963.0;81997.0;54
47453132812.12578;3444311.7168792146;11313.70849898476;159912.0;10635.0;81058.0;169053.0;85784.0;55
67108864000.0;4096000.0;12125.732532083182;161539.0;10653.0;81102.0;166543.0;90648.0;56
94906265624.25156;4870992.343051146;12996.03834169977;163009.0;10661.0;81156.0;167299.0;95698.0;57
134217728000.0;5792618.7514801975;13928.809012737984;164077.0;10674.0;81250.0;167305.0;100328.0;58
189812531248.5031;6888623.433758429;14928.527864588923;164967.0;10683.0;81305.0;168518.0;106475.0;59
268435456000.0;8192000.0;16000.0;165664.0;10694.0;81435.0;168925.0;112028.0;60
379625062497.0062;9741984.686102292;17148.375400580688;166152.0;10708.0;81498.0;169583.0;118226.0;61
536870912000.0;11585237.502960395;18379.17367995256;167007.0;10718.0;81591.0;170687.0;124794.0;62
759250124994.0125;13777246.867516859;19698.310613518657;168162.0;10728.0;81661.0;174224.0;131423.0;63
1073741824000.0;16384000.0;21112.126572366313;169430.0;10738.0;81782.0;174918.0;138536.0;64
1518500249988.025;19483969.372204583;22627.41699796952;170588.0;10752.0;81897.0;176202.0;144950.0;65
2147483648000.0;23170475.00592079;24251.465064166365;171324.0;10761.0;81999.0;176782.0;150793.0;66
3037000499976.05;27554493.735033717;25992.07668339954;171879.0;10765.0;82122.0;177094.0;158086.0;67
4294967296000.0;32768000.0;27857.618025475967;172576.0;10774.0;82198.0;177547.0;165386.0;68
6074000999952.1;38967938.74440917;29857.055729177846;173171.0;10780.0;82279.0;178349.0;173491.0;69
8589934592000.0;46340950.01184158;32000.0;174098.0;10793.0;82361.0;178184.0;181827.0;70
12148001999904.2;55108987.470067434;34296.750801161375;174478.0;10801.0;82432.0;178994.0;190609.0;71
17179869184000.0;65536000.0;36758.34735990512;175233.0;10804.0;82511.0;179630.0;198370.0;72
24296003999808.4;77935877.48881833;39396.621227037314;175752.0;10806.0;82543.0;179630.0;207191.0;73
34359738368000.0;92681900.02368316;42224.253144732626;176369.0;10810.0;82602.0;179693.0;216824.0;74
48592007999616.8;110217974.94013487;45254.83399593904;176551.0;10822.0;82665.0;180051.0;226713.0;75
68719476736000.0;131072000.0;48502.93012833273;177778.0;10840.0;82718.0;180933.0;236184.0;76
97184015999233.6;155871754.97763667;51984.15336679908;178473.0;10874.0;82809.0;181700.0;246622.0;77
137438953472000.0;185363800.04736632;55715.236050951935;179021.0;10909.0;82883.0;181951.0;257486.0;78
194368031998467.2;220435949.88026974;59714.11145835569;179710.0;10936.0;82941.0;182354.0;265928.0;79
274877906944000.0;262144000.0;64000.0;179986.0;10962.0;83014.0;182694.0;276146.0;80
388736063996934.4;311743509.95527333;68593.50160232275;180328.0;10991.0;83134.0;182709.0;286605.0;81
549755813888000.0;370727600.09473264;73516.6947198102;180600.0;11018.0;83213.0;183067.0;297535.0;82
777472127993868.8;440871899.7605395;78793.24245407469;181200.0;11037.0;83306.0;182847.0;308993.0;83
1099511627776000.0;524288000.0;84448.50628946525;181524.0;11050.0;83356.0;183038.0;320922.0;84
1554944255987737.5;623487019.9105467;90509.66799187809;182196.0;11065.0;83403.0;186364.0;332424.0;85
2199023255552000.0;741455200.1894653;97005.86025666546;182922.0;11078.0;83760.0;186923.0;343091.0;86
3109888511975475.0;881743799.521079;103968.3067335981;183189.0;11110.0;83787.0;188752.0;354065.0;87
4398046511104000.0;1048576000.0;111430.47210190394;183410.0;11122.0;83805.0;189009.0;366946.0;88
6219777023950950.0;1246974039.8210933;119428.22291671138;183594.0;11142.0;83817.0;189348.0;380532.0;89
8796093022208000.0;1482910400.3789306;128000.0;183879.0;11165.0;83853.0;188582.0;395048.0;90
1.24395540479019e+16;1763487599.042158;137187.0032046455;184121.0;11190.0;83868.0;188934.0;410451.0;91
1.7592186044416e+16;2097152000.0;147033.3894396204;184472.0;11206.0;83884.0;189701.0;425282.0;92
2.48791080958038e+16;2493948079.6421866;157586.48490814937;184924.0;11225.0;83899.0;190312.0;440215.0;93
3.5184372088832e+16;2965820800.757861;168897.0125789305;185450.0;11265.0;83909.0;190891.0;456183.0;94
4.97582161916076e+16;3526975198.084316;181019.33598375617;185750.0;11344.0;83912.0;191234.0;473105.0;95
7.0368744177664e+16;4194304000.0;194011.72051333092;186109.0;11402.0;83918.0;191445.0;490401.0;96
9.95164323832152e+16;4987896159.284373;207936.6134671962;186506.0;11441.0;83940.0;191849.0;508953.0;97
1.40737488355328e+17;5931641601.515722;222860.94420380789;186522.0;11468.0;83944.0;192394.0;528859.0;98
1.990328647664304e+17;7053950396.168632;238856.44583342277;186691.0;11503.0;83956.0;192819.0;548318.0;99
;;;187226.0;11541.0;83959.0;193546.0;566840.0;100
;;;187267.0;11590.0;83959.0;194072.0;585481.0;101
;;;187518.0;11629.0;83964.0;194479.0;604641.0;102
;;;187682.0;11668.0;83966.0;194631.0;625544.0;103
;;;188252.0;11719.0;83968.0;194975.0;648315.0;104
;;;188604.0;11776.0;83970.0;195433.0;673165.0;105
;;;189817.0;11814.0;83975.0;195900.0;697413.0;106
;;;190299.0;11852.0;83976.0;196711.0;719664.0;107
;;;190670.0;11902.0;83990.0;197352.0;742417.0;108
;;;191272.0;11947.0;84010.0;197636.0;767296.0;109
;;;191768.0;12003.0;84011.0;198009.0;793802.0;110
;;;192480.0;12051.0;84018.0;198526.0;820916.0;111
;;;192871.0;12085.0;84024.0;198607.0;849522.0;112
;;;193371.0;12121.0;84029.0;198607.0;878254.0;113
;;;194036.0;12155.0;84038.0;200195.0;906752.0;114
;;;194458.0;12198.0;84044.0;200195.0;936181.0;115
;;;194693.0;12257.0;84054.0;199476.0;968857.0;116
;;;195042.0;12306.0;84063.0;201522.0;1003832.0;117
;;;195418.0;12373.0;84063.0;202063.0;1039084.0;118
;;;195893.0;12421.0;84063.0;202981.0;1077781.0;119
;;;196370.0;12438.0;84063.0;203640.0;1118206.0;120
;;;196780.0;12484.0;84081.0;204222.0;1155338.0;121
;;;197198.0;12535.0;84084.0;204222.0;1193078.0;122
;;;197523.0;12563.0;84095.0;204222.0;1238798.0;123
;;;198064.0;12602.0;84102.0;205597.0;1288108.0;124
